"2","Abbotsford","BC","British Columbia","CA","Canada","0","0","120"
"3","Alert Bay","BC","British Columbia","CA","Canada","0","0","1"
"4","Anmore","BC","British Columbia","CA","Canada","0","0","9"
"5","Armstrong","BC","British Columbia","CA","Canada","0","0","2"
"6","Ashcroft","BC","British Columbia","CA","Canada","0","0","17"
"7","Barriere","BC","British Columbia","CA","Canada","0","0","4"
"8","Belcarra","BC","British Columbia","CA","Canada","0","0","2"
"9","Bowen Island","BC","British Columbia","CA","Canada","0","0","16"
"10","Burnaby","BC","British Columbia","CA","Canada","0","0","29"
"11","Burns Lake","BC","British Columbia","CA","Canada","0","0","3"
"12","Cache Creek","BC","British Columbia","CA","Canada","0","0","4"
"13","Campbell River","BC","British Columbia","CA","Canada","0","0","46"
"14","Canal Flats","BC","British Columbia","CA","Canada","0","0","4"
"15","Castlegar","BC","British Columbia","CA","Canada","0","0","7"
"16","Central Saanich","BC","British Columbia","CA","Canada","0","0","14"
"17","Chase","BC","British Columbia","CA","Canada","0","0","2"
"18","Chetwynd","BC","British Columbia","CA","Canada","0","0","21"
"19","Chilliwack","BC","British Columbia","CA","Canada","0","0","84"
"20","Clearwater","BC","British Columbia","CA","Canada","0","0","18"
"21","Clinton","BC","British Columbia","CA","Canada","0","0","3"
"22","Coldstream","BC","British Columbia","CA","Canada","0","0","22"
"23","Colwood","BC","British Columbia","CA","Canada","0","0","6"
"24","Comox","BC","British Columbia","CA","Canada","0","0","6"
"25","Coquitlam","BC","British Columbia","CA","Canada","0","0","39"
"26","Courtenay","BC","British Columbia","CA","Canada","0","0","11"
"27","Cranbrook","BC","British Columbia","CA","Canada","0","0","11"
"28","Creston","BC","British Columbia","CA","Canada","0","0","3"
"29","Cumberland","BC","British Columbia","CA","Canada","0","0","10"
"30","Dawson Creek","BC","British Columbia","CA","Canada","0","0","8"
"31","Delta","BC","British Columbia","CA","Canada","0","0","58"
"32","Duncan","BC","British Columbia","CA","Canada","0","0","1"
"33","Elkford","BC","British Columbia","CA","Canada","0","0","35"
"34","Enderby","BC","British Columbia","CA","Canada","0","0","2"
"35","Esquimalt","BC","British Columbia","CA","Canada","0","0","3"
"36","Fernie","BC","British Columbia","CA","Canada","0","0","5"
"37","Fort St. James","BC","British Columbia","CA","Canada","0","0","8"
"38","Fort St. John","BC","British Columbia","CA","Canada","0","0","9"
"39","Fraser Lake","BC","British Columbia","CA","Canada","0","0","2"
"40","Fruitvale","BC","British Columbia","CA","Canada","0","0","1"
"41","Gibsons","BC","British Columbia","CA","Canada","0","0","2"
"42","Gold River","BC","British Columbia","CA","Canada","0","0","4"
"43","Golden","BC","British Columbia","CA","Canada","0","0","4"
"44","Grand Forks","BC","British Columbia","CA","Canada","0","0","4"
"45","Granisle","BC","British Columbia","CA","Canada","0","0","14"
"46","Greenwood","BC","British Columbia","CA","Canada","0","0","1"
"47","Harrison Hot Springs","BC","British Columbia","CA","Canada","0","0","2"
"48","Hazelton","BC","British Columbia","CA","Canada","0","0","1"
"49","Highlands","BC","British Columbia","CA","Canada","0","0","13"
"50","Hope","BC","British Columbia","CA","Canada","0","0","14"
"51","Houston","BC","British Columbia","CA","Canada","0","0","24"
"52","Hudson's Hope","BC","British Columbia","CA","Canada","0","0","264"
"53","Invermere","BC","British Columbia","CA","Canada","0","0","4"
"54","Kamloops","BC","British Columbia","CA","Canada","0","0","96"
"55","Kaslo","BC","British Columbia","CA","Canada","0","0","1"
"56","Kelowna","BC","British Columbia","CA","Canada","0","0","68"
"57","Kent","BC","British Columbia","CA","Canada","0","0","54"
"58","Keremeos","BC","British Columbia","CA","Canada","0","0","1"
"59","Kimberley","BC","British Columbia","CA","Canada","0","0","20"
"60","Kitimat","BC","British Columbia","CA","Canada","0","0","77"
"61","Ladysmith","BC","British Columbia","CA","Canada","0","0","4"
"62","Lake Country","BC","British Columbia","CA","Canada","0","0","39"
"63","Lake Cowichan","BC","British Columbia","CA","Canada","0","0","3"
"64","Langford","BC","British Columbia","CA","Canada","0","0","13"
"65","Langley","BC","British Columbia","CA","Canada","0","0","4"
"66","Langley","BC","British Columbia","CA","Canada","0","0","99"
"67","Lantzville","BC","British Columbia","CA","Canada","0","0","9"
"68","Lillooet","BC","British Columbia","CA","Canada","0","0","9"
"69","Lions Bay","BC","British Columbia","CA","Canada","0","0","1"
"70","Logan Lake","BC","British Columbia","CA","Canada","0","0","104"
"71","Lumby","BC","British Columbia","CA","Canada","0","0","2"
"72","Lytton","BC","British Columbia","CA","Canada","0","0","3"
"73","Mackenzie","BC","British Columbia","CA","Canada","0","0","50"
"74","Maple Ridge","BC","British Columbia","CA","Canada","0","0","85"
"75","Masset","BC","British Columbia","CA","Canada","0","0","7"
"76","McBride","BC","British Columbia","CA","Canada","0","0","2"
"77","Merritt","BC","British Columbia","CA","Canada","0","0","9"
"78","Metchosin","BC","British Columbia","CA","Canada","0","0","23"
"79","Midway","BC","British Columbia","CA","Canada","0","0","4"
"80","Mission","BC","British Columbia","CA","Canada","0","0","73"
"81","Montrose","BC","British Columbia","CA","Canada","0","0","1"
"82","Nakusp","BC","British Columbia","CA","Canada","0","0","3"
"83","Nanaimo","BC","British Columbia","CA","Canada","0","0","29"
"84","Nelson","BC","British Columbia","CA","Canada","0","0","4"
"85","New Denver","BC","British Columbia","CA","Canada","0","0","1"
"86","New Hazelton","BC","British Columbia","CA","Canada","0","0","8"
"87","New Westminster","BC","British Columbia","CA","Canada","0","0","5"
"88","North Cowichan","BC","British Columbia","CA","Canada","0","0","63"
"89","North Saanich","BC","British Columbia","CA","Canada","0","0","12"
"90","North Vancouver","BC","British Columbia","CA","Canada","0","0","4"
"91","North Vancouver","BC","British Columbia","CA","Canada","0","0","52"
"92","Oak Bay","BC","British Columbia","CA","Canada","0","0","4"
"93","Oliver","BC","British Columbia","CA","Canada","0","0","2"
"94","Osoyoos","BC","British Columbia","CA","Canada","0","0","3"
"95","Parksville","BC","British Columbia","CA","Canada","0","0","5"
"96","Peachland","BC","British Columbia","CA","Canada","0","0","6"
"97","Pemberton","BC","British Columbia","CA","Canada","0","0","20"
"98","Penticton","BC","British Columbia","CA","Canada","0","0","14"
"99","Pitt Meadows","BC","British Columbia","CA","Canada","0","0","28"
"100","Port Alberni","BC","British Columbia","CA","Canada","0","0","7"
"101","Port Alice","BC","British Columbia","CA","Canada","0","0","3"
"102","Port Clements","BC","British Columbia","CA","Canada","0","0","5"
"103","Port Coquitlam","BC","British Columbia","CA","Canada","0","0","10"
"104","Port Edward","BC","British Columbia","CA","Canada","0","0","54"
"105","Port Hardy","BC","British Columbia","CA","Canada","0","0","13"
"106","Port McNeill","BC","British Columbia","CA","Canada","0","0","5"
"107","Port Moody","BC","British Columbia","CA","Canada","0","0","9"
"108","Pouce Coupe","BC","British Columbia","CA","Canada","0","0","1"
"109","Powell River","BC","British Columbia","CA","Canada","0","0","10"
"110","Prince George","BC","British Columbia","CA","Canada","0","0","102"
"111","Prince Rupert","BC","British Columbia","CA","Canada","0","0","22"
"112","Princeton","BC","British Columbia","CA","Canada","0","0","19"
"113","Qualicum Beach","BC","British Columbia","CA","Canada","0","0","6"
"114","Queen Charlotte","BC","British Columbia","CA","Canada","0","0","12"
"115","Quesnel","BC","British Columbia","CA","Canada","0","0","12"
"116","Radium Hot Springs","BC","British Columbia","CA","Canada","0","0","3"
"117","Revelstoke","BC","British Columbia","CA","Canada","0","0","14"
"118","Richmond","BC","British Columbia","CA","Canada","0","0","42"
"119","Rossland","BC","British Columbia","CA","Canada","0","0","20"
"120","Saanich","BC","British Columbia","CA","Canada","0","0","34"
"121","Salmo","BC","British Columbia","CA","Canada","0","0","1"
"122","Salmon Arm","BC","British Columbia","CA","Canada","0","0","50"
"123","Sayward","BC","British Columbia","CA","Canada","0","0","2"
"124","Sechelt","BC","British Columbia","CA","Canada","0","0","13"
"125","Sechelt Indian Government District","BC","British Columbia","CA","Canada","0","0","4"
"126","Sicamous","BC","British Columbia","CA","Canada","0","0","5"
"127","Sidney","BC","British Columbia","CA","Canada","0","0","2"
"128","Silverton","BC","British Columbia","CA","Canada","0","0","1"
"129","Slocan","BC","British Columbia","CA","Canada","0","0","1"
"130","Smithers","BC","British Columbia","CA","Canada","0","0","5"
"131","Sooke","BC","British Columbia","CA","Canada","0","0","19"
"132","Spallumcheen","BC","British Columbia","CA","Canada","0","0","82"
"133","Sparwood","BC","British Columbia","CA","Canada","0","0","62"
"134","Squamish","BC","British Columbia","CA","Canada","0","0","34"
"135","Stewart","BC","British Columbia","CA","Canada","0","0","176"
"136","Summerland","BC","British Columbia","CA","Canada","0","0","24"
"137","Sun Peaks","BC","British Columbia","CA","Canada","0","0","14"
"138","Surrey","BC","British Columbia","CA","Canada","0","0","101"
"139","Tahsis","BC","British Columbia","CA","Canada","0","0","2"
"140","Taylor","BC","British Columbia","CA","Canada","0","0","6"
"141","Telkwa","BC","British Columbia","CA","Canada","0","0","3"
"142","Terrace","BC","British Columbia","CA","Canada","0","0","19"
"143","Tofino","BC","British Columbia","CA","Canada","0","0","4"
"144","Trail","BC","British Columbia","CA","Canada","0","0","12"
"145","Tumbler Ridge","BC","British Columbia","CA","Canada","0","0","497"
"146","Ucluelet","BC","British Columbia","CA","Canada","0","0","3"
"147","Valemount","BC","British Columbia","CA","Canada","0","0","2"
"148","Vancouver","BC","British Columbia","CA","Canada","0","0","37"
"149","Vanderhoof","BC","British Columbia","CA","Canada","0","0","18"
"150","Vernon","BC","British Columbia","CA","Canada","0","0","31"
"151","Victoria","BC","British Columbia","CA","Canada","0","0","7"
"152","View Royal","BC","British Columbia","CA","Canada","0","0","5"
"153","Warfield","BC","British Columbia","CA","Canada","0","0","1"
"154","Wells","BC","British Columbia","CA","Canada","0","0","51"
"155","West Kelowna","BC","British Columbia","CA","Canada","0","0","40"
"156","West Vancouver","BC","British Columbia","CA","Canada","0","0","28"
"157","Whistler","BC","British Columbia","CA","Canada","0","0","77"
"158","White Rock","BC","British Columbia","CA","Canada","0","0","2"
"159","Williams Lake","BC","British Columbia","CA","Canada","0","0","11"
"160","Zeballos","BC","British Columbia","CA","Canada","0","0","1"